OVERLAYS
    ">Saving","> सहेजा जा रहा है"
    ">Checking for updates",">अपडेट्स के लिए जांच हो रही है"


BUTTONS
    "> Settings","> समायोजन"


MENU ITEMS
    ">Current page",">वर्तमान पृष्ठ"
    ">Menu",">मेन्यू"
    ">Files",">फ़ाइलें"
    ">Themes",">विषयों"
    ">Plugins",">प्लग-इन"
    ">Security",">सुरक्षा"


CURRENT PAGE
    ">Page title",">पृष्ठ का शीर्षक"
    ">Page keywords",">पेज कीवर्ड"
    ">Page description",">पृष्ठ विवरण"
    "> Delete page","> पृष्ठ हटाएं"
    "return confirm\('Delete (.*?)\?'\)","वापसी की पुष्टि ('हटाएं $1?')"


MENU
    ">Website title","> वेबसाइट शीर्षक"
    ">Page to display on homepage","> पृष्ठ को घर पर प्रदर्शित करने के लिए"
    ">visit",">यात्रा"
    "> Add page","> पृष्ठ जोड़ें"


FILES
    ">Upload","> डालना"
    ">Delete files","> फाइलों को नष्ट"


THEMES AND PLUGINS
    "> Check for updates","> अद्यतन के लिए जाँच"
    "return confirm\('Remove (.*?)\?'\)","वापसी की पुष्टि ('निकालें $1?')"
    ">Active",">सक्रिय"
    "return confirm\('Activate (.*?) theme\?'\)","वापसी की पुष्टि ('सक्रिय $1?')"
    "> Activate","> सक्रिय"
    "> More info","> और जानकारी"
    "> Install","> इंस्टॉल"
    ">Installed version:",">स्थापित संस्करण:"
    ">Custom repository",">कस्टम भंडार"
    "Enter URL to custom repository","कस्टम रिपॉजिटरी में URL दर्ज करें"
    "> Add", "> जोड़ना"
    "> Read more about custom repositories",">कस्टम रिपॉजिटरी के बारे में अधिक पढ़ें"


SECURITY
    ">Admin login URL","> व्यवस्थापक लॉगिन URL"
    ">Save your login URL to log in to your website next time:",">अगली बार अपनी वेबसाइट पर लॉगिन करने के लिए अपना लॉगिन URL सहेजें:"
    ">Password",">पारण शब्द"
    "Old password","पुराना पासवर्ड"
    "New password","नया पासवर्ड"
    "> Change password","> पासवर्ड बदलें"

    "> How to restore backup","> बैकअप कैसे पुनर्स्थापित करें"
    ">Improved security \(Apache only\)",">सुरक्षा में सुधार (केवल अपाचे)"
    ">HTTPS redirect, 30 day caching, iframes allowed only from same origin, mime type sniffing prevention, stricter cookie and refferer policy.",">HTTPS पुनर्निर्देशित, 30 दिन की कैशिंग, iframes केवल एक ही मूल, माइम प्रकार सूँघने की रोकथाम, सख्त कुकी और रेफरर नीति की अनुमति दी।."
    ">ON \(warning: may break your website\)",">चालू (चेतावनी: आपकी वेबसाइट को तोड़ सकता है)"
    ">OFF \(reset htaccess to default\)",">बंद (डिफ़ॉल्ट के लिए htaccess रीसेट करें)"
    "> Read more before enabling","> सक्षम करने से पहले अधिक पढ़ें"
    ">Backup","> बैकअप"
    "> Backup website","> बैकअप वेबसाइट"
    ">Last 5 logins",">अंतिम 5 लॉगिन"


STATISTICS
    ">Statistics",">आंकड़े"
    ">Today",">आज"
    ">This week",">इस सप्ताह"
    ">Most popular page",">सबसे लोकप्रिय पेज"
    ">Pageviews last two weeks",">पेजव्यू पिछले दो सप्ताह"
    ">Sessions last two weeks",">सत्र पिछले दो सप्ताह"
    ">Sessions",">सत्र"
    ">Pageviews",">पृष्ठ-अवलोकन"


FOOTER
    ">News",">समाचार"
    ">Community",">समुदाय"
    ">Docs",">डॉक्स"
    ">Donate",">दान करना"
    ">Shop\/Merch",">दुकान"
